3M™ Cavilon™ Advanced Skin Protectant[3M Health Care],1,3M™ Cavilon™ Advanced Skin Protectant,5050G,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M™ Curos™ Disinfecting Caps[3M Health Care],1,3M™ Curos™ Disinfecting Cap for Needleless Connectors,CFF1-270R,"UNITED STATES, POLAND, GERMANY",2,3M™ Curos™ Disinfecting Cap Strip for Needleless Connectors,CFF10-250R,"UNITED STATES, POLAND, GERMANY",3,3M™ Curos™ Disinfecting Cap for Tego® Hemodialysis Connectors,CTG1-270R,UNITED STATES,4,3M™ Curos Tips™ Disinfecting Cap for Male Luers,CM5-200R,UNITED STATES,5,3M™ Curos Jet™ Disinfecting Cap for Needleless Connectors,CFJ1-270R,UNITED STATES,6,3M™ Curos Jet™ Disinfecting Cap Strip for Needleless Connectors,CFJ5-250R,UNITED STATES,7,3M™ Curos™ Stopper Disinfecting Cap Strip (Red) for Open Female Luers,CSA5-250R,"UNITED STATES, POLAND, GERMANY",8,3M™ Curos™ Stopper Disinfecting Cap (Teal) for Open Female Luers,CSV1-270R,"UNITED STATES, POLAND, GERMANY",9,3M™ Curos™ Stopper Disinfecting Cap (Red) for Open Female Luers,CSA1-270R,"UNITED STATES, POLAND, GERMANY",10,3M™ Curos™ Stopper Disinfecting Cap Strip (Teal) for Open Female Luers,CSV5-250R,"UNITED STATES, POLAND, GERMANY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M™ Medipore™ + Pad Soft Cloth Adhesive Wound Dressing[3M Company],1,3M™ Medipore™ + Pad Soft Cloth Adhesive Wound Dressing 2.5 x 4cm(1 x 1 1/2 in),3562,UNITED STATES,2,3M™ Medipore™ + Pad Soft Cloth Adhesive Wound Dressing 2.5 x 6cm(1 x 2 3/8 in),3564,UNITED STATES,3,3M™ Medipore™ + Pad Soft Cloth Adhesive Wound Dressing 4.5 x 6cm(1 3/4 x 2 3/8 in),3566,UNITED STATES,4,3M™ Medipore™ + Pad Soft Cloth Adhesive Wound Dressing 10 x 10cm(4 x 4 in),3568,UNITED STATES,5,3M™ Medipore™ + Pad Soft Cloth Adhesive Wound Dressing 4.5 x 10cm(1 3/4 x 4 in),3569,UNITED STATES,6,3M™ Medipore™ + Pad Soft Cloth Adhesive Wound Dressing 4.5 x 15cm(1 3/4 x 6 in),3570,UNITED STATES,7,3M™ Medipore™ + Pad Soft Cloth Adhesive Wound Dressing 4.5 x 20cm(1 3/4 x 8 in),3571,UNITED STATES,8,3M™ Medipore™ + Pad Soft Cloth Adhesive Wound Dressing 4.5 x 30cm(1 3/4 x11 3/4 in),3573,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M™ Electrosurgical Pads 7100 Series[3M Health Care],1,"7149,7149C,7149F,7179,7180,7180F",-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M™ Electrosurgical Patient Plates 1100 Series[3M Company],1,"3M Electrosurgical Patient Plate, Small & Non Corded",1146,UNITED STATES,2,3M Electrosurgical Patient Plate: Small with Cord,1148-LP,UNITED STATES,3,3M Electrosurgical Patient Plate: Large & Non Corded,1149,UNITED STATES,4,3M Electrosurgical Patient Plate: with Cord,1149C-LP,UNITED STATES,5,3M Electrosurgical Patient Plate: Large & Non Corded,1149F,UNITED STATES,6,3M Electrosurgical Patient Plate: Large & Corded,1179,UNITED STATES,7,3M Electrosurgical Patient Plate: Large & Non Corded,1180,UNITED STATES,8,3M Electrosurgical Patient Plate: Large & Non Corded,1180F,UNITED STATES,9,3M Electrosurgical Patient Plate: Small & Corded,1181,UNITED STATES,10,3M Electrosurgical Patient Plate: Small & Non Corded,1182,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M™ ESPE Dental Restorative Materials[3M ESPE],1,Filtek™ Bulk Fill Flowable Restorative Universal Shade Syringe,4862U,"UNITED STATES, JAPAN",2,Filtek™ Bulk Fill Flowable Restorative A1 Shade Syringe,4862A1,"UNITED STATES, JAPAN",3,Filtek™ Bulk Fill Flowable Restorative A2 Shade Syringe,4862A2,"UNITED STATES, JAPAN",4,Filtek™ Bulk Fill Flowable Restorative A3 Shade Syringe,4862A3,"UNITED STATES, JAPAN",5,Filtek™ Bulk Fill Flowable Restorative Universal Shade Capsules,4861U,UNITED STATES,6,Filtek™ Bulk Fill Flowable Restorative A1 Shade Capsules,4861A1,UNITED STATES,7,Filtek™ Bulk Fill Flowable Restorative A2 Shade Capsules,4861A2,UNITED STATES,8,Filtek™ Bulk Fill Flowable Restorative A3 Shade Capsules,4861A3,UNITED STATES,9,Filtek Bulk Fill Flowable Dispensing Tips,3740T,"UNITED STATES, JAPAN",10,Restorative Dispenser,5707SD,UNITED STATES,11,Filtek Bulk Fill Flowable Restorative Universal Shade Syringe,4862U-S,"UNITED STATES, JAPAN",12,Filtek Bulk Fill Flowable Restorative Universal Shade Capsules,4861U-S,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M™ ESPE™ Filtek™ Bulk Fill Posterior Restorative Kit[3M ESPE],1,3M ESPE Filtek™ Bulk Fill Posterior Restorative Procedure Kit,4863TK,UNITED STATES,2,3M ESPE Filtek™ Bulk Fill Posterior Restorative Procedure Kit,4864TK,UNITED STATES,3,3M ESPE Filtek™ Bulk Fill Posterior Restorative A1 Shade,4863A1,UNITED STATES,4,3M ESPE Filtek™ Bulk Fill Posterior Restorative A2 Shade,4863A2,UNITED STATES,5,3M ESPE Filtek™ Bulk Fill Posterior Restorative A3 Shade,4863A3,UNITED STATES,6,3M ESPE Filtek™ Bulk Fill Posterior Restorative B1 Shade,4863B1,UNITED STATES,7,3M ESPE Filtek™ Bulk Fill Posterior Restorative C2 Shade,4863C2,UNITED STATES,8,3M ESPE Filtek™ Bulk Fill Posterior Restorative A1 Shade,4864A1,UNITED STATES,9,3M ESPE Filtek™ Bulk Fill Posterior Restorative A2 Shade,4864A2,UNITED STATES,10,3M ESPE Filtek™ Bulk Fill Posterior Restorative A3 Shade,4864A3,UNITED STATES,11,3M ESPE Filtek™ Bulk Fill Posterior Restorative B1 Shade,4864B1,UNITED STATES,12,3M ESPE Filtek™ Bulk Fill Posterior Restorative C2 Shade,4864C2,UNITED STATES,13,Restorative Dispenser,5707SD,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3M™ ESPE™ Lava Plus High Translucency Zirconia Mill Blanks, Discs, Dyeing liquids and Effect Shades[3M Deutschland GmbH]",1,Lava Plus High Translucency Zirconia Mill Blanks – 20,69221,GERMANY,2,Lava Plus High Translucency Zirconia Mill Blanks – 40,69201,GERMANY,3,Lava Plus High Translucency Zirconia Mill Blanks – Multi L,69222,GERMANY,4,Lava Plus High Translucency Zirconia Mill Blanks – Multi XL,69202,GERMANY,5,Lava Plus High Translucency Zirconia Dyeing Liquid – A1,69203,GERMANY,6,Lava Plus High Translucency Zirconia Dyeing Liquid – A2,69204,GERMANY,7,Lava Plus High Translucency Zirconia Dyeing Liquid – A3,69205,GERMANY,8,Lava Plus High Translucency Zirconia Dyeing Liquid – A3.5,69206,GERMANY,9,Lava Plus High Translucency Zirconia Dyeing Liquid – A4,69207,GERMANY,10,Lava Plus High Translucency Zirconia Dyeing Liquid – B1,69208,GERMANY,11,Lava Plus High Translucency Zirconia Dyeing Liquid – B2,69209,GERMANY,12,Lava Plus High Translucency Zirconia Dyeing Liquid – B3,69210,GERMANY,13,Lava Plus High Translucency Zirconia Dyeing Liquid – B4,69211,GERMANY,14,Lava Plus High Translucency Zirconia Dyeing Liquid – C1,69212,GERMANY,15,Lava Plus High Translucency Zirconia Dyeing Liquid – C2,69213,GERMANY,16,Lava Plus High Translucency Zirconia Dyeing Liquid – C3,69214,GERMANY,17,Lava Plus High Translucency Zirconia Dyeing Liquid – C4,69215,GERMANY,18,Lava Plus High Translucency Zirconia Dyeing Liquid – D2,69216,GERMANY,19,Lava Plus High Translucency Zirconia Dyeing Liquid – D3,69217,GERMANY,20,Lava Plus High Translucency Zirconia Dyeing Liquid – D4,69218,GERMANY,21,Lava Plus High Translucency Zirconia Dyeing Liquid – W1,69219,GERMANY,22,Lava Plus High Translucency Zirconia Dyeing Liquid – W3,69220,GERMANY,23,Lava Plus High Translucency Zirconia Effect Shade – Kit,69224,GERMANY,24,Lava Plus High Translucency Zirconia Effect Shade – Fluorescence,69260,GERMANY,25,Lava Plus High Translucency Zirconia Effect Shade – Grey,69261,GERMANY,26,Lava Plus High Translucency Zirconia Effect Shade – Brown,69262,GERMANY,27,Lava Plus High Translucency Zirconia Effect Shade – Orange,69263,GERMANY,28,Lava Plus High Translucency Zirconia Effect Shade – Yellow,69264,GERMANY,29,Lava Plus High Translucency Zirconia Effect Shade – Purple,69265,GERMANY,30,Lava Plus High Translucency Zirconia Effect Shade – Pink,69266,GERMANY,31,Lava Plus High Translucency Zirconia Effect Shade – White,69267,GERMANY,32,Lava Plus High Translucency Zirconia Color Marker – Kit,69223,GERMANY,33,Lava Plus High Translucency Zirconia Shade Guide,69225,GERMANY,34,Lava Plus High Translucency Zirconia Disc 98-14MM 1 Disc,69274,GERMANY,35,Lava Plus High Translucency Zirconia Disc 98-18MM 1 Disc,69275,GERMANY,36,Lava Plus High Translucency Zirconia Disc 98-25MM 1 Disc,69276,GERMANY,37,Lava Plus High Translucency Zirconia Disc 98S-14MM 1 Disc,69271,GERMANY,38,Lava Plus High Translucency Zirconia Disc 98S-18MM 1 Disc,69272,GERMANY,39,Lava Plus High Translucency Zirconia Disc 98S-25MM 1 Disc,69273,GERMANY,40,Lava Plus High Translucency Zirconia Dyeing Liquid - A1 (300mL),69176,GERMANY,41,Lava Plus High Translucency Zirconia Dyeing Liquid - A2 (300mL),69177,GERMANY,42,Lava Plus High Translucency Zirconia Dyeing Liquid - A3 (300mL),69178,GERMANY,43,Lava Plus High Translucency Zirconia Dyeing Liquid - B1 (300mL),69179,GERMANY,44,Lava Plus High Translucency Zirconia Dyeing Liquid - C1 (300mL),69180,GERMANY,45,Lava Plus High Translucency Zirconia Dyeing Liquid - W1 (300mL),69181,GERMANY,46,Lava Plus High Translucency Zirconia Effect Shade - Thinner (100mL),69350,GERMANY,47,Lava Plus High Translucency Zirconia Shade Guide 1 Enamel Shade Guide,69300,GERMANY,48,Applicators,69301,GERMANY,49,Lava Plus High Translucency Zirconia Dyeing Liquid - EL (100mL),69226,GERMANY,50,Lava Plus High Translucency Zirconia Dyeing Liquid - EM (100mL),69227,GERMANY,51,Lava Plus High Translucency Zirconia Dyeing Liquid - EB (100mL),69228,GERMANY,52,Lava Plus High Translucency Zirconia Dyeing Liquid – Introductory Kit,69229,GERMANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3M™ ESPE™ Lava Plus High Translucency Zirconia Mill Blanks, Discs, Dyeing liquids and Effect Shades[3M Deutschland GmbH]",1,Lava Plus High Translucency Zirconia Mill Blanks – 20,69221,GERMANY,2,Lava Plus High Translucency Zirconia Mill Blanks – 40,69201,GERMANY,3,Lava Plus High Translucency Zirconia Mill Blanks – Multi L,69222,GERMANY,4,Lava Plus High Translucency Zirconia Mill Blanks – Multi XL,69202,GERMANY,5,Lava Plus High Translucency Zirconia Dyeing Liquid – A1,69203,GERMANY,6,Lava Plus High Translucency Zirconia Dyeing Liquid – A2,69204,GERMANY,7,Lava Plus High Translucency Zirconia Dyeing Liquid – A3,69205,GERMANY,8,Lava Plus High Translucency Zirconia Dyeing Liquid – A3.5,69206,GERMANY,9,Lava Plus High Translucency Zirconia Dyeing Liquid – A4,69207,GERMANY,10,Lava Plus High Translucency Zirconia Dyeing Liquid – B1,69208,GERMANY,11,Lava Plus High Translucency Zirconia Dyeing Liquid – B2,69209,GERMANY,12,Lava Plus High Translucency Zirconia Dyeing Liquid – B3,69210,GERMANY,13,Lava Plus High Translucency Zirconia Dyeing Liquid – B4,69211,GERMANY,14,Lava Plus High Translucency Zirconia Dyeing Liquid – C1,69212,GERMANY,15,Lava Plus High Translucency Zirconia Dyeing Liquid – C2,69213,GERMANY,16,Lava Plus High Translucency Zirconia Dyeing Liquid – C3,69214,GERMANY,17,Lava Plus High Translucency Zirconia Dyeing Liquid – C4,69215,GERMANY,18,Lava Plus High Translucency Zirconia Dyeing Liquid – D2,69216,GERMANY,19,Lava Plus High Translucency Zirconia Dyeing Liquid – D3,69217,GERMANY,20,Lava Plus High Translucency Zirconia Dyeing Liquid – D4,69218,GERMANY,21,Lava Plus High Translucency Zirconia Dyeing Liquid – W1,69219,GERMANY,22,Lava Plus High Translucency Zirconia Dyeing Liquid – W3,69220,GERMANY,23,Lava Plus High Translucency Zirconia Effect Shade – Kit,69224,GERMANY,24,Lava Plus High Translucency Zirconia Effect Shade – Fluorescence,69260,GERMANY,25,Lava Plus High Translucency Zirconia Effect Shade – Grey,69261,GERMANY,26,Lava Plus High Translucency Zirconia Effect Shade – Brown,69262,GERMANY,27,Lava Plus High Translucency Zirconia Effect Shade – Orange,69263,GERMANY,28,Lava Plus High Translucency Zirconia Effect Shade – Yellow,69264,GERMANY,29,Lava Plus High Translucency Zirconia Effect Shade – Purple,69265,GERMANY,30,Lava Plus High Translucency Zirconia Effect Shade – Pink,69266,GERMANY,31,Lava Plus High Translucency Zirconia Effect Shade – White,69267,GERMANY,32,Lava Plus High Translucency Zirconia Color Marker – Kit,69223,GERMANY,33,Lava Plus High Translucency Zirconia Shade Guide,69225,GERMANY,34,Lava Plus High Translucency Zirconia Disc 98-14MM 1 Disc,69274,GERMANY,35,Lava Plus High Translucency Zirconia Disc 98-18MM 1 Disc,69275,GERMANY,36,Lava Plus High Translucency Zirconia Disc 98-25MM 1 Disc,69276,GERMANY,37,Lava Plus High Translucency Zirconia Disc 98S-14MM 1 Disc,69271,GERMANY,38,Lava Plus High Translucency Zirconia Disc 98S-18MM 1 Disc,69272,GERMANY,39,Lava Plus High Translucency Zirconia Disc 98S-25MM 1 Disc,69273,GERMANY,40,Lava Plus High Translucency Zirconia Dyeing Liquid - A1 (300mL),69176,GERMANY,41,Lava Plus High Translucency Zirconia Dyeing Liquid - A2 (300mL),69177,GERMANY,42,Lava Plus High Translucency Zirconia Dyeing Liquid - A3 (300mL),69178,GERMANY,43,Lava Plus High Translucency Zirconia Dyeing Liquid - B1 (300mL),69179,GERMANY,44,Lava Plus High Translucency Zirconia Dyeing Liquid - C1 (300mL),69180,GERMANY,45,Lava Plus High Translucency Zirconia Dyeing Liquid - W1 (300mL),69181,GERMANY,46,Lava Plus High Translucency Zirconia Effect Shade - Thinner (100mL),69350,GERMANY,47,Lava Plus High Translucency Zirconia Shade Guide 1 Enamel Shade Guide,69300,GERMANY,48,Applicators,69301,GERMANY,49,Lava Plus High Translucency Zirconia Dyeing Liquid - EL (100mL),69226,GERMANY,50,Lava Plus High Translucency Zirconia Dyeing Liquid - EM (100mL),69227,GERMANY,51,Lava Plus High Translucency Zirconia Dyeing Liquid - EB (100mL),69228,GERMANY,52,Lava Plus High Translucency Zirconia Dyeing Liquid – Introductory Kit,69229,GERMANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M™ Littmann® Electronic Stethoscopes[3M Health Care],1,3M Littmann StethAssist Heart and Lung Sound Visualization Software,ES1000,UNITED STATES,2,"3M Littmann Electronic Stethoscope Model 3200, Black",3200BK27,UNITED STATES,3,"3M Littmann Electronic Stethoscope Model 3200, Burgundy",3200BU,UNITED STATES,4,"3M Littmann Electronic Stethoscope Model 3200, Navy Blue",3200NB,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Unitek Transbond™ LR Light Cure Adhesive System[3M Unitek],1,Transbond LR Capsule Kit,712-033,UNITED STATES,2,Transbond XT Primer,712-034,UNITED STATES,3,Transbond LR Capsules 25/Box,712-038,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Unitek Transbond™ MIP Moisture Insensitive Primer[3M Unitek],1,Transbond MIP Kit,712-021,-,2,Transbond MIP Bottle (6ml),712-025,-,3,Light Sensitive Wells (4/pk),712-022,-,4,Disposable Wells (96/pk),712-023,-,5,Brush Holders 4/pk,704-046,-,6,Brush Tips 2/pk - 60 ea,704-047,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
